Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI,0,Accumbens,-0.4658530079983448,BG,MCI
ADNI,0,Amygdala,-0.8827101787185804,TL-M,MCI
ADNI,0,Angular Gyrus,-0.6273719519742352,PL,MCI
ADNI,0,Anterior Cingulate Gyrus,-0.29332382414319613,Cing,MCI
ADNI,0,Anterior Insula,-0.4113332872485642,Ins,MCI
ADNI,0,Anterior Orbital Gyrus,-0.275951048853496,FL,MCI
ADNI,0,Basal Forebrain,-0.6209670104649442,SC,MCI
ADNI,0,Calcarine Cortex,0.021855792761084448,OL,MCI
ADNI,0,Caudate,-0.12296961099980011,BG,MCI
ADNI,0,Central Operculum,-0.520936408679364,FL,MCI
ADNI,0,Cerebral White Matter,0.20099014370104232,SC,MCI
ADNI,0,Cuneus,-0.31297130331946227,OL,MCI
ADNI,0,Entorhinal Area,-0.8736897377097357,TL-M,MCI
ADNI,0,Frontal Operculum,-0.3598873353698602,FL,MCI
ADNI,0,Frontal Pole,-0.2685030357149741,FL,MCI
ADNI,0,Fusiform Gyrus,-0.8542427623579951,TL-O,MCI
ADNI,0,Gyrus Rectus,-0.43170846192658885,FL,MCI
ADNI,0,Hippocampus,-0.8081410310049032,TL-M,MCI
ADNI,0,Inferior Occipital Gyrus,-0.6286102378424048,OL,MCI
ADNI,0,Inferior Temporal Gyrus,-0.8455847678558942,TL-O,MCI
ADNI,0,Lateral Orbital Gyrus,-0.23777645758171115,FL,MCI
ADNI,0,Lingual Gyrus,-0.5263367228916574,OL,MCI
ADNI,0,Medial Frontal Cortex,-0.524419242763917,FL,MCI
ADNI,0,Medial Orbital Gyrus,-0.361516874771088,FL,MCI
ADNI,0,Middle Cingulate Gyrus,-0.25461615685460737,Cing,MCI
ADNI,0,Middle Frontal Gyrus,-0.24045631890961788,FL,MCI
ADNI,0,Middle Occipital Gyrus,-0.6817017335950732,OL,MCI
ADNI,0,Middle Temporal Gyrus,-0.8142936404168499,TL-O,MCI
ADNI,0,Occipital Fusiform Gyrus,-0.6347422088336286,OL,MCI
ADNI,0,Occipital Pole,-0.2686531849636924,OL,MCI
ADNI,0,Opercular Part of the Inferior Frontal Gyrus,-0.16902572318806078,FL,MCI
ADNI,0,Orbital Part of the Inferior Frontal Gyrus,-0.28358909424751216,FL,MCI
ADNI,0,Pallidum,0.08528241069554206,BG,MCI
ADNI,0,Parahippocampus Gyrus,-0.8286265884499973,TL-M,MCI
ADNI,0,Parietal Operculum,-0.2595427971430272,FL,MCI
ADNI,0,Planum Polare,-0.6181489378681264,TL-O,MCI
ADNI,0,Planum Temporale,-0.44133099829296174,TL-O,MCI
ADNI,0,Postcentral Gyrus,-0.22975917036878038,PL,MCI
ADNI,0,Postcentral Gyrus Medial Segment,-0.07413047277990281,PL,MCI
ADNI,0,Posterior Cingulate Gyrus,-0.5473522445227406,Cing,MCI
ADNI,0,Posterior Insula,-0.4809711625934077,Ins,MCI
ADNI,0,Posterior Orbital Gyrus,-0.4042830548245402,FL,MCI
ADNI,0,Precentral Gyrus,-0.10423210057783026,FL,MCI
ADNI,0,Precentral Gyrus Medial Segment,0.03168150236551024,FL,MCI
ADNI,0,Precuneus,-0.3911463859688048,PL,MCI
ADNI,0,Putamen,-0.30246752101832314,BG,MCI
ADNI,0,Subcallosal Area,-0.40186535347929786,FL,MCI
ADNI,0,Superior Frontal Gyrus,-0.24923877146670742,FL,MCI
ADNI,0,Superior Frontal Gyrus Medial Segment,-0.37165150893798404,FL,MCI
ADNI,0,Superior Occipital Gyrus,-0.3227631738732031,OL,MCI
ADNI,0,Superior Parietal Lobule,-0.3631217446986388,PL,MCI
ADNI,0,Superior Temporal Gyrus,-0.700689640869501,TL-O,MCI
ADNI,0,Supplementary Motor Cortex,-0.046324934109717844,FL,MCI
ADNI,0,Supramarginal Gyrus,-0.5422025028533614,PL,MCI
ADNI,0,Temporal Pole,-0.7780043479755178,TL-O,MCI
ADNI,0,Thalamus Proper,-0.13484995507345343,SC,MCI
ADNI,0,Transverse Temporal Gyrus,-0.18770472074445396,TL-O,MCI
ADNI,0,Triangular Part of the Inferior Frontal Gyrus,-0.18291704645469295,FL,MCI
ADNI,0,Ventral DC,-0.5451474238268034,SC,MCI
ADNI,1,Accumbens,-0.27934459100025993,BG,MCI
ADNI,1,Amygdala,-0.1994011544568015,TL-M,MCI
ADNI,1,Angular Gyrus,-0.43226600054828507,PL,MCI
ADNI,1,Anterior Cingulate Gyrus,-0.6494094330053014,Cing,MCI
ADNI,1,Anterior Insula,-0.4480448514245975,Ins,MCI
ADNI,1,Anterior Orbital Gyrus,-0.5418139882617271,FL,MCI
ADNI,1,Basal Forebrain,-0.33489241742688725,SC,MCI
ADNI,1,Calcarine Cortex,-0.3044368193834558,OL,MCI
ADNI,1,Caudate,-0.10914930186257325,BG,MCI
ADNI,1,Central Operculum,-0.5554059397985475,FL,MCI
ADNI,1,Cerebral White Matter,0.031236696435095558,SC,MCI
ADNI,1,Cuneus,-0.40797144566497007,OL,MCI
ADNI,1,Entorhinal Area,-0.12882920458907715,TL-M,MCI
ADNI,1,Frontal Operculum,-0.7141629535760625,FL,MCI
ADNI,1,Frontal Pole,-0.19419044236360522,FL,MCI
ADNI,1,Fusiform Gyrus,-0.33081311739364533,TL-O,MCI
ADNI,1,Gyrus Rectus,-0.6136797202007013,FL,MCI
ADNI,1,Hippocampus,-0.3497037822918289,TL-M,MCI
ADNI,1,Inferior Occipital Gyrus,-0.4495578775522505,OL,MCI
ADNI,1,Inferior Temporal Gyrus,-0.36167637220209964,TL-O,MCI
ADNI,1,Lateral Orbital Gyrus,-0.6062558906331501,FL,MCI
ADNI,1,Lingual Gyrus,-0.3830388765567902,OL,MCI
ADNI,1,Medial Frontal Cortex,-0.635560290521795,FL,MCI
ADNI,1,Medial Orbital Gyrus,-0.6391774956459283,FL,MCI
ADNI,1,Middle Cingulate Gyrus,-0.5102593189681893,Cing,MCI
ADNI,1,Middle Frontal Gyrus,-0.6582054995506316,FL,MCI
ADNI,1,Middle Occipital Gyrus,-0.33745239408387706,OL,MCI
ADNI,1,Middle Temporal Gyrus,-0.5114705692992109,TL-O,MCI
ADNI,1,Occipital Fusiform Gyrus,-0.39834210136004455,OL,MCI
ADNI,1,Occipital Pole,-0.3835812687849013,OL,MCI
ADNI,1,Opercular Part of the Inferior Frontal Gyrus,-0.609777429241813,FL,MCI
ADNI,1,Orbital Part of the Inferior Frontal Gyrus,-0.5913929227035671,FL,MCI
ADNI,1,Pallidum,0.2681729978142245,BG,MCI
ADNI,1,Parahippocampus Gyrus,-0.15762127530340986,TL-M,MCI
ADNI,1,Parietal Operculum,-0.5561730989861796,FL,MCI
ADNI,1,Planum Polare,-0.5388835743307975,TL-O,MCI
ADNI,1,Planum Temporale,-0.5889745656341274,TL-O,MCI
ADNI,1,Postcentral Gyrus,-0.3533474453615114,PL,MCI
ADNI,1,Postcentral Gyrus Medial Segment,-0.09786672562022519,PL,MCI
ADNI,1,Posterior Cingulate Gyrus,-0.497824344609067,Cing,MCI
ADNI,1,Posterior Insula,-0.3301700683432244,Ins,MCI
ADNI,1,Posterior Orbital Gyrus,-0.560722275770447,FL,MCI
ADNI,1,Precentral Gyrus,-0.43373563475245436,FL,MCI
ADNI,1,Precentral Gyrus Medial Segment,-0.272194562959058,FL,MCI
ADNI,1,Precuneus,-0.534432537280943,PL,MCI
ADNI,1,Putamen,-0.04445425345912272,BG,MCI
ADNI,1,Subcallosal Area,-0.4969996223182297,FL,MCI
ADNI,1,Superior Frontal Gyrus,-0.48477736980114966,FL,MCI
ADNI,1,Superior Frontal Gyrus Medial Segment,-0.596123110228686,FL,MCI
ADNI,1,Superior Occipital Gyrus,-0.207276466626712,OL,MCI
ADNI,1,Superior Parietal Lobule,-0.2921000914811326,PL,MCI
ADNI,1,Superior Temporal Gyrus,-0.4455205604175109,TL-O,MCI
ADNI,1,Supplementary Motor Cortex,-0.5280272620151842,FL,MCI
ADNI,1,Supramarginal Gyrus,-0.3792526078615343,PL,MCI
ADNI,1,Temporal Pole,-0.23854514993717651,TL-O,MCI
ADNI,1,Thalamus Proper,-0.35662860810106783,SC,MCI
ADNI,1,Transverse Temporal Gyrus,-0.6179245651636168,TL-O,MCI
ADNI,1,Triangular Part of the Inferior Frontal Gyrus,-0.7189185456754735,FL,MCI
ADNI,1,Ventral DC,-0.1426556933514386,SC,MCI
ADNI,2,Accumbens,0.5182449912706952,BG,MCI
ADNI,2,Amygdala,0.07995221832363271,TL-M,MCI
ADNI,2,Angular Gyrus,0.4029511156928769,PL,MCI
ADNI,2,Anterior Cingulate Gyrus,0.5845315756479376,Cing,MCI
ADNI,2,Anterior Insula,0.25863838979859666,Ins,MCI
ADNI,2,Anterior Orbital Gyrus,0.3815256614898782,FL,MCI
ADNI,2,Basal Forebrain,0.2921422946140599,SC,MCI
ADNI,2,Calcarine Cortex,-0.42675727538155506,OL,MCI
ADNI,2,Caudate,0.580028515906595,BG,MCI
ADNI,2,Central Operculum,0.44823550130724815,FL,MCI
ADNI,2,Cerebral White Matter,0.22743913009466263,SC,MCI
ADNI,2,Cuneus,-0.05304329157679219,OL,MCI
ADNI,2,Entorhinal Area,-0.042818454299207026,TL-M,MCI
ADNI,2,Frontal Operculum,0.4278595406801174,FL,MCI
ADNI,2,Frontal Pole,0.20756173838899747,FL,MCI
ADNI,2,Fusiform Gyrus,0.1257099005376737,TL-O,MCI
ADNI,2,Gyrus Rectus,0.4074094051441766,FL,MCI
ADNI,2,Hippocampus,0.10179465473491035,TL-M,MCI
ADNI,2,Inferior Occipital Gyrus,0.08772622320604881,OL,MCI
ADNI,2,Inferior Temporal Gyrus,0.10458217739380858,TL-O,MCI
ADNI,2,Lateral Orbital Gyrus,0.2653168567632728,FL,MCI
ADNI,2,Lingual Gyrus,-0.1471542048884166,OL,MCI
ADNI,2,Medial Frontal Cortex,0.5061827496088631,FL,MCI
ADNI,2,Medial Orbital Gyrus,0.37241745284086847,FL,MCI
ADNI,2,Middle Cingulate Gyrus,0.5945978762366508,Cing,MCI
ADNI,2,Middle Frontal Gyrus,0.5715674893000889,FL,MCI
ADNI,2,Middle Occipital Gyrus,0.16367017910763212,OL,MCI
ADNI,2,Middle Temporal Gyrus,0.24946247791373147,TL-O,MCI
ADNI,2,Occipital Fusiform Gyrus,-0.10674111598870031,OL,MCI
ADNI,2,Occipital Pole,-0.1859319839290937,OL,MCI
ADNI,2,Opercular Part of the Inferior Frontal Gyrus,0.33180841800987326,FL,MCI
ADNI,2,Orbital Part of the Inferior Frontal Gyrus,0.12238553050420314,FL,MCI
ADNI,2,Pallidum,-0.028949036409988187,BG,MCI
ADNI,2,Parahippocampus Gyrus,0.003625832834160177,TL-M,MCI
ADNI,2,Parietal Operculum,0.17143349106864758,FL,MCI
ADNI,2,Planum Polare,0.2435027804732139,TL-O,MCI
ADNI,2,Planum Temporale,0.07044116285069602,TL-O,MCI
ADNI,2,Postcentral Gyrus,0.5107314557398391,PL,MCI
ADNI,2,Postcentral Gyrus Medial Segment,0.2597595221801762,PL,MCI
ADNI,2,Posterior Cingulate Gyrus,0.45375297034474643,Cing,MCI
ADNI,2,Posterior Insula,0.20902122704023707,Ins,MCI
ADNI,2,Posterior Orbital Gyrus,0.098341525431785,FL,MCI
ADNI,2,Precentral Gyrus,0.30429065123087445,FL,MCI
ADNI,2,Precentral Gyrus Medial Segment,0.20582779511392713,FL,MCI
ADNI,2,Precuneus,0.3734979933076192,PL,MCI
ADNI,2,Putamen,0.42992979844706863,BG,MCI
ADNI,2,Subcallosal Area,0.2969489305404265,FL,MCI
ADNI,2,Superior Frontal Gyrus,0.5090537238602942,FL,MCI
ADNI,2,Superior Frontal Gyrus Medial Segment,0.409293713321194,FL,MCI
ADNI,2,Superior Occipital Gyrus,0.04088042056258932,OL,MCI
ADNI,2,Superior Parietal Lobule,0.46415168990212763,PL,MCI
ADNI,2,Superior Temporal Gyrus,0.26145195169903723,TL-O,MCI
ADNI,2,Supplementary Motor Cortex,0.5158537950301529,FL,MCI
ADNI,2,Supramarginal Gyrus,0.47158337854946336,PL,MCI
ADNI,2,Temporal Pole,0.0484248518064196,TL-O,MCI
ADNI,2,Thalamus Proper,0.06232303304922398,SC,MCI
ADNI,2,Transverse Temporal Gyrus,-0.030859050626818253,TL-O,MCI
ADNI,2,Triangular Part of the Inferior Frontal Gyrus,0.2866314377163713,FL,MCI
ADNI,2,Ventral DC,-0.05703419523748601,SC,MCI
ADNI,3,Accumbens,0.23666366040475395,BG,MCI
ADNI,3,Amygdala,0.6598647941932312,TL-M,MCI
ADNI,3,Angular Gyrus,0.4578309851423012,PL,MCI
ADNI,3,Anterior Cingulate Gyrus,0.28030853941327344,Cing,MCI
ADNI,3,Anterior Insula,0.4008770857953846,Ins,MCI
ADNI,3,Anterior Orbital Gyrus,0.2982551379373747,FL,MCI
ADNI,3,Basal Forebrain,0.4692465849628542,SC,MCI
ADNI,3,Calcarine Cortex,0.3456943285060948,OL,MCI
ADNI,3,Caudate,-0.11129745156935217,BG,MCI
ADNI,3,Central Operculum,0.4483095933362879,FL,MCI
ADNI,3,Cerebral White Matter,-0.23847919724196953,SC,MCI
ADNI,3,Cuneus,0.44511520991751563,OL,MCI
ADNI,3,Entorhinal Area,0.675998982738012,TL-M,MCI
ADNI,3,Frontal Operculum,0.42929658890489,FL,MCI
ADNI,3,Frontal Pole,0.18813129568100662,FL,MCI
ADNI,3,Fusiform Gyrus,0.6877806621779587,TL-O,MCI
ADNI,3,Gyrus Rectus,0.4208861356318194,FL,MCI
ADNI,3,Hippocampus,0.6779650356020669,TL-M,MCI
ADNI,3,Inferior Occipital Gyrus,0.6164307276835735,OL,MCI
ADNI,3,Inferior Temporal Gyrus,0.7107483962206426,TL-O,MCI
ADNI,3,Lateral Orbital Gyrus,0.35516229008425537,FL,MCI
ADNI,3,Lingual Gyrus,0.6210139330166676,OL,MCI
ADNI,3,Medial Frontal Cortex,0.4440166690359047,FL,MCI
ADNI,3,Medial Orbital Gyrus,0.40581609721779555,FL,MCI
ADNI,3,Middle Cingulate Gyrus,0.17009503617904922,Cing,MCI
ADNI,3,Middle Frontal Gyrus,0.2524831877464654,FL,MCI
ADNI,3,Middle Occipital Gyrus,0.5560670352592255,OL,MCI
ADNI,3,Middle Temporal Gyrus,0.6950483657544106,TL-O,MCI
ADNI,3,Occipital Fusiform Gyrus,0.6860030272880464,OL,MCI
ADNI,3,Occipital Pole,0.4646946962632752,OL,MCI
ADNI,3,Opercular Part of the Inferior Frontal Gyrus,0.28379144469784884,FL,MCI
ADNI,3,Orbital Part of the Inferior Frontal Gyrus,0.4498785931596393,FL,MCI
ADNI,3,Pallidum,-0.18419296487124537,BG,MCI
ADNI,3,Parahippocampus Gyrus,0.6332264795999014,TL-M,MCI
ADNI,3,Parietal Operculum,0.393862111609231,FL,MCI
ADNI,3,Planum Polare,0.5810301129698153,TL-O,MCI
ADNI,3,Planum Temporale,0.570030577352455,TL-O,MCI
ADNI,3,Postcentral Gyrus,0.11929980129764874,PL,MCI
ADNI,3,Postcentral Gyrus Medial Segment,-0.017147189246436816,PL,MCI
ADNI,3,Posterior Cingulate Gyrus,0.4189995709626646,Cing,MCI
ADNI,3,Posterior Insula,0.41509767498128985,Ins,MCI
ADNI,3,Posterior Orbital Gyrus,0.5248665396861308,FL,MCI
ADNI,3,Precentral Gyrus,0.16214035883056274,FL,MCI
ADNI,3,Precentral Gyrus Medial Segment,0.03538403032687888,FL,MCI
ADNI,3,Precuneus,0.37009728937213054,PL,MCI
ADNI,3,Putamen,0.05458356176034035,BG,MCI
ADNI,3,Subcallosal Area,0.3975998900291099,FL,MCI
ADNI,3,Superior Frontal Gyrus,0.18717410982497978,FL,MCI
ADNI,3,Superior Frontal Gyrus Medial Segment,0.38345142369824003,FL,MCI
ADNI,3,Superior Occipital Gyrus,0.30558515596391767,OL,MCI
ADNI,3,Superior Parietal Lobule,0.18115965084656807,PL,MCI
ADNI,3,Superior Temporal Gyrus,0.57666056689244,TL-O,MCI
ADNI,3,Supplementary Motor Cortex,0.08882833051202292,FL,MCI
ADNI,3,Supramarginal Gyrus,0.35051546274680045,PL,MCI
ADNI,3,Temporal Pole,0.6324841534097885,TL-O,MCI
ADNI,3,Thalamus Proper,0.2549176642132134,SC,MCI
ADNI,3,Transverse Temporal Gyrus,0.4569376845873648,TL-O,MCI
ADNI,3,Triangular Part of the Inferior Frontal Gyrus,0.3670363150594056,FL,MCI
ADNI,3,Ventral DC,0.4742724757112651,SC,MCI
ADNI_AD,0,Accumbens,-0.6943637443595508,BG,AD
ADNI_AD,0,Amygdala,-1.4488210106314787,TL-M,AD
ADNI_AD,0,Angular Gyrus,-1.0241848570706304,PL,AD
ADNI_AD,0,Anterior Cingulate Gyrus,-0.5697580661982047,Cing,AD
