Cluster,Region,W,p,p_corrected,sig
H,Accumbens,4432.0,0.8407120651273271,0.8605076397713819,
H,Amygdala,940.0,1.776477531883254e-15,3.967466487872601e-14,***
H,Angular Gyrus,2466.0,4.945580495681298e-06,1.1834067614665964e-05,***
H,Anterior Cingulate Gyrus,2432.0,3.4406801302404206e-06,1.0022850814178616e-05,***
H,Anterior Insula,2899.0,0.000311582468914616,0.0005352827030071608,***
H,Anterior Orbital Gyrus,2577.0,1.5562396292833755e-05,3.3634856503866505e-05,***
H,Background,2914.0,0.00035404498329667854,0.0005647860447827967,***
H,Basal Forebrain,2015.0,2.5669759242537786e-08,2.1427875905394854e-07,***
H,Brainstem,2249.0,4.4413454066478767e-07,1.6531674569189319e-06,***
H,Calcarine Cortex,2794.0,0.00012370788471427778,0.00022401157502315163,***
H,Caudate,4309.0,0.6353989228599768,0.6757417116129911,
H,Central Operculum,2593.0,1.8270550173318158e-05,3.825396442538489e-05,***
H,Cerebellar Vermal Lobules I-V,3305.0,0.006854562373191592,0.009771397425613546,**
H,Cerebellar Vermal Lobules VI-VII,3487.0,0.021468489904594202,0.02820370242368258,*
H,Cerebellar Vermal Lobules VIII-X,2402.0,2.486732448874556e-06,7.93386067021882e-06,***
H,Cerebellum Exterior,4068.0,0.31280424863524636,0.3492980776426918,
H,Cerebellum White Matter,2449.0,4.127895727621613e-06,1.063726975964031e-05,***
H,Cerebral White Matter,737.0,4.211587789413857e-17,1.4108819094536422e-15,***
H,Cuneus,3815.0,0.1161318559104356,0.13894347046427116,
H,Entorhinal Area,2494.0,6.640402854293195e-06,1.534162038750497e-05,***
H,Frontal Operculum,2664.0,3.669454502570552e-05,7.230983872712558e-05,***
H,Frontal Pole,2936.0,0.00042620015116233813,0.0006640793052994571,***
H,Fusiform Gyrus,1475.0,1.3066531417519525e-11,1.4590960082896804e-10,***
H,Gyrus Rectus,2455.0,4.400465147678191e-06,1.0919672773868103e-05,***
H,Hippocampus,3497.0,0.022760302250117576,0.029325774053036106,*
H,Inferior Occipital Gyrus,2122.0,9.765212537317047e-08,6.542692400002422e-07,***
H,Inferior Temporal Gyrus,2685.0,4.4895053531506684e-05,8.594195961745566e-05,***
H,Lateral Orbital Gyrus,3804.0,0.11056750481022609,0.13469132404154815,
H,Lingual Gyrus,4436.0,0.8476642421628537,0.8605076397713819,
H,Medial Frontal Cortex,3507.0,0.024119128698339876,0.030490219297901355,*
H,Medial Orbital Gyrus,2774.0,0.00010314352691467447,0.0001919615639800886,***
H,Middle Cingulate Gyrus,3851.0,0.13589068213878983,0.1597311526894547,
H,Middle Frontal Gyrus,4005.0,0.25044632109277243,0.2844051442917924,
H,Middle Occipital Gyrus,3956.0,0.20836088415188125,0.2406927454857939,
H,Middle Temporal Gyrus,4090.0,0.3368048102658725,0.369933152259237,
H,Occipital Fusiform Gyrus,1308.0,9.41670737589784e-13,1.2618387883703106e-11,***
H,Occipital Pole,2443.0,3.871547801641687e-06,1.037574810839972e-05,***
H,Opercular Part of the Inferior Frontal Gyrus,2235.0,3.7725856633056145e-07,1.4868425849498598e-06,***
H,Optic Chiasm,1668.0,2.3083459756875034e-10,2.2094168624437534e-09,***
H,Orbital Part of the Inferior Frontal Gyrus,2221.0,3.201527391015206e-07,1.3887400338965778e-06,***
H,Pallidum,3010.0,0.0007823475170983659,0.0011913019010361481,**
H,Parahippocampus Gyrus,2224.0,3.3163941107977976e-07,1.3887400338965778e-06,***
H,Parietal Operculum,3410.0,0.013486990935242587,0.01844139576859701,*
H,Planum Polare,2439.0,3.7092034471180695e-06,1.0354859623204612e-05,***
H,Planum Temporale,3792.0,0.10473972867637717,0.12995484854291242,
H,Postcentral Gyrus,2848.0,0.00020022216675754723,0.0003530232940198859,***
H,Postcentral Gyrus Medial Segment,609.0,3.588970467925527e-18,2.404610213510103e-16,***
H,Posterior Cingulate Gyrus,2322.0,1.0244710360465896e-06,3.612608390269553e-06,***
H,Posterior Insula,2178.0,1.9225482034642174e-07,1.073422746934188e-06,***
H,Posterior Orbital Gyrus,4520.0,0.9955701600402724,0.9955701600402724,
H,Precentral Gyrus,2417.0,2.9266369680801237e-06,8.912939857334922e-06,***
H,Precentral Gyrus Medial Segment,4431.0,0.8389759379973679,0.8605076397713819,
H,Precuneus,2903.0,0.0003224138334575535,0.0005400431710414021,***
H,Putamen,3068.0,0.0012372131963669956,0.0018420729812575266,**
H,Subcallosal Area,2349.0,1.386627925997822e-06,4.645203552092704e-06,***
H,Superior Frontal Gyrus,3449.0,0.017124070931597648,0.022946255048340847,*
H,Superior Frontal Gyrus Medial Segment,3354.0,0.009458836690245049,0.013202959546800381,*
H,Superior Occipital Gyrus,1124.0,4.440270668609048e-14,7.437453369920156e-13,***
H,Superior Parietal Lobule,2627.0,2.5589832248065594e-05,5.1955113958193786e-05,***
H,Superior Temporal Gyrus,2024.0,2.8783713902769207e-08,2.1427875905394854e-07,***
H,Supplementary Motor Cortex,3218.0,0.003767034103155363,0.0054867670632915075,**
H,Supramarginal Gyrus,2213.0,2.9136821625861026e-07,1.3887400338965778e-06,***
H,Temporal Pole,2912.0,0.0003480861162847502,0.0005647860447827967,***
H,Thalamus Proper,2518.0,8.523231855150845e-06,1.9035217809836885e-05,***
H,Transverse Temporal Gyrus,4127.0,0.37976579154580914,0.4103920650575679,
H,Triangular Part of the Inferior Frontal Gyrus,2159.0,1.530351437939211e-07,9.32123148562974e-07,***
H,Ventral DC,2201.0,2.528253529525779e-07,1.30302297290944e-06,***
IH,Accumbens,4088.0,0.8059581157069109,0.8181696023085308,
IH,Amygdala,1784.0,1.500059583119147e-08,1.2736274702339067e-07,***
IH,Angular Gyrus,2843.0,0.0015128293488344531,0.002838419780265253,**
IH,Anterior Cingulate Gyrus,1475.0,1.6816871765228816e-10,2.816826020675827e-09,***
IH,Anterior Insula,3954.0,0.5750486892278033,0.5927424950501972,
IH,Anterior Orbital Gyrus,783.0,1.105283787215759e-15,3.7027006871727926e-14,***
IH,Background,3576.0,0.14728736165961484,0.17621880769989634,
IH,Basal Forebrain,2796.0,0.0010282090968070398,0.002222258370518441,**
IH,Brainstem,2682.0,0.0003842563455286613,0.000887764660359321,***
IH,Calcarine Cortex,3165.0,0.015722264637536336,0.023560221170895526,*
IH,Caudate,3731.0,0.2779978120527553,0.3211354035781829,
IH,Central Operculum,2472.0,5.2478598670701115e-05,0.00016743171956842736,***
IH,Cerebellar Vermal Lobules I-V,3485.0,0.09629449833250256,0.11947650719032725,
IH,Cerebellar Vermal Lobules VI-VII,3384.0,0.057366755957947206,0.075364169591813,
IH,Cerebellar Vermal Lobules VIII-X,2700.0,0.00045088673651443034,0.001006980378215561,**
IH,Cerebellum Exterior,2844.0,0.0015251210759634195,0.002838419780265253,**
IH,Cerebellum White Matter,2815.0,0.001203583195832159,0.0023717668859045485,**
IH,Cerebral White Matter,1186.0,1.5803481695556808e-12,3.5294442453410206e-11,***
IH,Cuneus,2667.0,0.0003358831786787531,0.0008037204632670164,***
IH,Entorhinal Area,3849.0,0.4194069381708514,0.4683377476241174,
IH,Frontal Operculum,2980.0,0.004369569579888003,0.0073190290463124065,**
IH,Frontal Pole,2526.0,8.9520519918768e-05,0.0002607771667198894,***
IH,Fusiform Gyrus,2802.0,0.001080855067425749,0.002263040297422662,**
IH,Gyrus Rectus,2420.0,3.092590043706185e-05,0.00012498573606007033,***
IH,Hippocampus,3015.0,0.005641906452819172,0.009000184103306774,**
IH,Inferior Occipital Gyrus,1785.0,1.5207492181897394e-08,1.2736274702339067e-07,***
IH,Inferior Temporal Gyrus,2134.0,1.3060778980111575e-06,7.955201742431596e-06,***
IH,Lateral Orbital Gyrus,2443.0,3.914417423384444e-05,0.00013113298368337887,***
IH,Lingual Gyrus,2440.0,3.79652805174743e-05,0.00013113298368337887,***
IH,Medial Frontal Cortex,4119.0,0.8628296505026534,0.8628296505026534,
IH,Medial Orbital Gyrus,2848.0,0.0015752134968002734,0.0028524136293410357,**
IH,Middle Cingulate Gyrus,3188.0,0.018214201358421448,0.026529380239439935,*
IH,Middle Frontal Gyrus,2274.0,6.49086933913534e-06,3.624068714350565e-05,***
IH,Middle Occipital Gyrus,3861.0,0.435836763544744,0.47098488963706203,
IH,Middle Temporal Gyrus,3166.0,0.015824029144631324,0.023560221170895526,*
IH,Occipital Fusiform Gyrus,1499.0,2.427988952312763e-10,3.2535051960991027e-09,***
IH,Occipital Pole,2284.0,7.249505690042835e-06,3.7362837017913075e-05,***
IH,Opercular Part of the Inferior Frontal Gyrus,2506.0,7.35861735511821e-05,0.00022410334672405457,***
IH,Optic Chiasm,1550.0,5.244434855200095e-10,5.856285588306773e-09,***
IH,Orbital Part of the Inferior Frontal Gyrus,3544.0,0.127408602939402,0.1552068435807261,
IH,Pallidum,3433.0,0.07420881648071792,0.093811145362417,
IH,Parahippocampus Gyrus,2922.0,0.002821822208350074,0.004975318104196183,**
IH,Parietal Operculum,2315.0,1.017795059528319e-05,4.870876356314098e-05,***
IH,Planum Polare,3944.0,0.5591273427361155,0.585336436926871,
IH,Planum Temporale,3303.0,0.03653621010672924,0.048958521543017185,*
IH,Postcentral Gyrus,2814.0,0.001193703946302687,0.0023717668859045485,**
IH,Postcentral Gyrus Medial Segment,460.0,1.726958101862522e-18,1.1570619282478898e-16,***
IH,Posterior Cingulate Gyrus,3069.0,0.008267079548743195,0.012881263482925445,*
IH,Posterior Insula,3208.0,0.02065557404800301,0.029445180025876632,*
IH,Posterior Orbital Gyrus,3588.0,0.15532490686333958,0.1825748905235746,
IH,Precentral Gyrus,2417.0,2.9983585828997645e-05,0.00012498573606007033,***
IH,Precentral Gyrus Medial Segment,3272.0,0.03048127677494025,0.042546782165020766,*
IH,Precuneus,3297.0,0.0352901699528905,0.04825390585395231,*
IH,Putamen,3855.0,0.4275758924823617,0.46963253764456125,
IH,Subcallosal Area,2580.0,0.00015038433267723463,0.0004024639326439754,***
IH,Superior Frontal Gyrus,2608.0,0.0001956131061130813,0.0004854103003546832,***
IH,Superior Frontal Gyrus Medial Segment,2532.0,9.490351760271013e-05,0.0002649389866408991,***
IH,Superior Occipital Gyrus,1910.0,8.078169316237913e-08,6.01374826875489e-07,***
IH,Superior Parietal Lobule,2941.0,0.0032626122843513504,0.00560500059106514,**
IH,Superior Temporal Gyrus,2584.0,0.00015618003356333374,0.0004024639326439754,***
IH,Supplementary Motor Cortex,3901.0,0.49320735878721556,0.5245221117260863,
IH,Supramarginal Gyrus,2984.0,0.004500495227831913,0.007354467811335078,**
IH,Temporal Pole,2428.0,3.3578257448974116e-05,0.00012498573606007033,***
IH,Thalamus Proper,3392.0,0.05987666624617593,0.0771487815094959,
IH,Transverse Temporal Gyrus,3812.0,0.37109460857023924,0.4214125215967124,
IH,Triangular Part of the Inferior Frontal Gyrus,2124.0,1.1601001816538116e-06,7.77267121708054e-06,***
IH,Ventral DC,2425.0,3.255925321911014e-05,0.00012498573606007033,***
IL,Accumbens,1934.0,0.042148596180625414,0.14236783178079485,
IL,Amygdala,1881.0,0.026809441110137996,0.09979069746551365,
IL,Angular Gyrus,2370.0,0.5940748720051938,0.8120800897000313,
IL,Anterior Cingulate Gyrus,774.0,1.7387179975866166e-09,3.883136861276777e-08,***
IL,Anterior Insula,1299.0,2.493510419546351e-05,0.0002386645687280079,***
IL,Anterior Orbital Gyrus,667.0,1.6762210274951143e-10,5.615340442108633e-09,***
IL,Background,1975.0,0.05861384418740005,0.1707446765459045,
IL,Basal Forebrain,2320.0,0.4808994854883417,0.7420898838758918,
IL,Brainstem,2102.0,0.14583227876539612,0.325692089242718,
IL,Calcarine Cortex,2375.0,0.6060299176865905,0.8120800897000313,
IL,Caudate,2251.0,0.34614092891907466,0.5797860559394501,
IL,Central Operculum,2068.0,0.11610962557336571,0.2778337469076965,
IL,Cerebellar Vermal Lobules I-V,2480.0,0.8770384213786963,0.9327234005138515,
IL,Cerebellar Vermal Lobules VI-VII,2251.0,0.34614092891907466,0.5797860559394501,
IL,Cerebellar Vermal Lobules VIII-X,1935.0,0.04249786023307309,0.14236783178079485,
IL,Cerebellum Exterior,2426.0,0.7335597164128502,0.8473879482700167,
IL,Cerebellum White Matter,2394.0,0.652407226795377,0.8247412112318917,
IL,Cerebral White Matter,2007.0,0.07490391224372553,0.2007424848131844,
IL,Cuneus,2456.0,0.8124671821144986,0.8923819869126461,
IL,Entorhinal Area,2358.0,0.5658323009305045,0.7963150252315578,
IL,Frontal Operculum,2340.0,0.5247177003787094,0.7812463538971894,
IL,Frontal Pole,869.0,1.2419461244164134e-08,2.0802597583974926e-07,***
IL,Fusiform Gyrus,2520.0,0.9862837441089826,0.9862837441089826,
IL,Gyrus Rectus,2163.0,0.2132517564117422,0.4329656872602039,
IL,Hippocampus,2257.0,0.35680454481095936,0.5830708415203483,
IL,Inferior Occipital Gyrus,1631.0,0.002113068620757455,0.010112542685053535,*
IL,Inferior Temporal Gyrus,2170.0,0.22223549128693643,0.43793464459484527,
IL,Lateral Orbital Gyrus,894.0,2.0478704108103747e-08,2.744146350485902e-07,***
IL,Lingual Gyrus,1477.0,0.0003141246127325076,0.0017538624210898344,**
IL,Medial Frontal Cortex,1975.0,0.05861384418740005,0.1707446765459045,
IL,Medial Orbital Gyrus,2356.0,0.5611886274899517,0.7963150252315578,
IL,Middle Cingulate Gyrus,2025.0,0.08558480118974492,0.22054544921972727,
IL,Middle Frontal Gyrus,1433.0,0.00017358336141942972,0.0013100847542750365,**
IL,Middle Occipital Gyrus,1597.0,0.0014189642160793382,0.0073131232674858195,**
IL,Middle Temporal Gyrus,1750.0,0.007705662880195226,0.03226746331081751,*
IL,Occipital Fusiform Gyrus,1457.0,0.00024053638284954242,0.0014650852409926675,**
IL,Occipital Pole,2178.0,0.23283071247871412,0.4457045067449671,
IL,Opercular Part of the Inferior Frontal Gyrus,2453.0,0.8044753358016482,0.8923819869126461,
IL,Optic Chiasm,1772.0,0.009623871357349385,0.03792937534955346,*
IL,Orbital Part of the Inferior Frontal Gyrus,2390.0,0.6425231921087418,0.8247412112318917,
IL,Pallidum,2112.0,0.1555994829260015,0.3321198158258212,
IL,Parahippocampus Gyrus,2360.0,0.5704943464345489,0.7963150252315578,
IL,Parietal Operculum,1447.0,0.00021013147514216076,0.0014078808834524772,**
IL,Planum Polare,2190.0,0.24938731137746817,0.45159323952136127,
IL,Planum Temporale,2498.0,0.9260348271927795,0.9545282064910189,
IL,Postcentral Gyrus,2480.0,0.8770384213786963,0.9327234005138515,
IL,Postcentral Gyrus Medial Segment,462.0,1.309850946596449e-12,8.776001342196208e-11,***
IL,Posterior Cingulate Gyrus,2451.0,0.7991587121799286,0.8923819869126461,
IL,Posterior Insula,2294.0,0.4270481369484205,0.6812434565605755,
IL,Posterior Orbital Gyrus,1962.0,0.0528950328867865,0.1687603430197474,
IL,Precentral Gyrus,2323.0,0.4873426103065558,0.7420898838758918,
IL,Precentral Gyrus Medial Segment,1656.0,0.0028089750559873055,0.012546755250076631,*
IL,Precuneus,2403.0,0.6748685607674054,0.8343895335212558,
IL,Putamen,1281.0,1.891940866353517e-05,0.00021126673007614276,***
IL,Subcallosal Area,2051.0,0.10315096733541448,0.25596721523973226,
IL,Superior Frontal Gyrus,2420.0,0.7180814247397251,0.8473879482700167,
IL,Superior Frontal Gyrus Medial Segment,2407.0,0.6849466319950608,0.8343895335212558,
IL,Superior Occipital Gyrus,1434.0,0.0001759815341563482,0.0013100847542750365,**
IL,Superior Parietal Lobule,2495.0,0.9178441245028052,0.9545282064910189,
IL,Superior Temporal Gyrus,2382.0,0.6229452589763704,0.8183790657140553,
IL,Supplementary Motor Cortex,2115.0,0.1586243896481534,0.3321198158258212,
IL,Supramarginal Gyrus,2507.0,0.9506505527719576,0.9650543490260782,
IL,Temporal Pole,2190.0,0.24938731137746817,0.45159323952136127,
IL,Thalamus Proper,1988.0,0.06483698513130025,0.1810032501582132,
IL,Transverse Temporal Gyrus,2082.0,0.12771420216827659,0.295063846388777,
IL,Triangular Part of the Inferior Frontal Gyrus,2239.0,0.32542984426248267,0.5737841990943774,
IL,Ventral DC,2424.0,0.7283878786577169,0.8473879482700167,
L,Accumbens,4443.0,0.09359608769425923,0.11831958255689375,
L,Amygdala,3866.0,0.004868671702212316,0.007586069861586632,**
L,Angular Gyrus,3551.0,0.0005874631009568555,0.001093334104558592,**
L,Anterior Cingulate Gyrus,1447.0,3.194856195915965e-14,4.281107302527393e-13,***
L,Anterior Insula,1769.0,3.535309636581697e-12,2.6318416183441524e-11,***
L,Anterior Orbital Gyrus,179.0,5.93746871403435e-24,3.9781040384030143e-22,***
L,Background,3295.0,8.059457802243952e-05,0.0002159934691001379,***
L,Basal Forebrain,4337.0,0.05930215269931686,0.07640854290104288,
L,Brainstem,4118.0,0.02043821714851086,0.02974776172697969,*
L,Calcarine Cortex,2497.0,3.434623708520592e-08,1.6437127747919977e-07,***
L,Caudate,5078.0,0.6720211242507206,0.6720211242507206,
L,Central Operculum,4866.0,0.3998903502123017,0.4186352103785033,
L,Cerebellar Vermal Lobules I-V,3536.0,0.0005264111614730169,0.0010373396417262392,**
L,Cerebellar Vermal Lobules VI-VII,3003.0,6.214154320279613e-06,2.1809585822338333e-05,***
L,Cerebellar Vermal Lobules VIII-X,4125.0,0.021200878493411165,0.02974776172697969,*
L,Cerebellum Exterior,3642.0,0.0011230976288928885,0.0020337173279952304,**
L,Cerebellum White Matter,3860.0,0.004692187396023721,0.007485156084133079,**
L,Cerebral White Matter,3646.0,0.001154746563937832,0.00203600052062723,**
L,Cuneus,3541.0,0.0005460722415258963,0.0010453382909210015,**
L,Entorhinal Area,2242.0,1.7332643277084218e-09,9.677392496372023e-09,***
L,Frontal Operculum,3442.0,0.000259720338442509,0.0005613310540531646,***
L,Frontal Pole,1280.0,2.3790937662696964e-15,5.3133094113356556e-14,***
L,Fusiform Gyrus,2808.0,9.397344747465958e-07,3.7036594004718773e-06,***
L,Gyrus Rectus,4576.0,0.1572993081239814,0.18819738650547777,
L,Hippocampus,4753.0,0.2869419155808003,0.3100823926437681,
L,Inferior Occipital Gyrus,2692.0,2.854414475765624e-07,1.274971799175312e-06,***
L,Inferior Temporal Gyrus,3392.0,0.00017601236640962193,0.00040664926032567825,***
L,Lateral Orbital Gyrus,1483.0,5.5148640613933394e-14,4.832581506984447e-13,***
L,Lingual Gyrus,1463.0,4.0746298382197625e-14,4.550003319345402e-13,***
L,Medial Frontal Cortex,2736.0,4.5123086567982363e-07,1.8895292500342615e-06,***
L,Medial Orbital Gyrus,4274.0,0.04440000602434357,0.05949600807262038,
L,Middle Cingulate Gyrus,3376.0,0.00015510582631793975,0.00038489223567785046,***
L,Middle Frontal Gyrus,1838.0,9.204575079876359e-12,6.16706530351716e-11,***
L,Middle Occipital Gyrus,1382.0,1.1773818643650522e-14,1.9721146228114624e-13,***
L,Middle Temporal Gyrus,1070.0,7.796781093792166e-17,2.6119216664203758e-15,***
L,Occipital Fusiform Gyrus,3313.0,9.341162554319643e-05,0.00024071457351516003,***
L,Occipital Pole,4540.0,0.13747250341292733,0.167466504157566,
L,Opercular Part of the Inferior Frontal Gyrus,4609.0,0.17731175804830368,0.2084190840216903,
L,Optic Chiasm,3467.0,0.00031440212690367277,0.0006383315909862448,***
L,Orbital Part of the Inferior Frontal Gyrus,3415.0,0.0002107481945701493,0.0004706709678733334,***
L,Pallidum,3459.0,0.00029582907611971253,0.0006193921281256481,***
L,Parahippocampus Gyrus,3008.0,6.510324126071144e-06,2.1809585822338333e-05,***
L,Parietal Operculum,4036.0,0.013136237505534961,0.019558398063796497,*
L,Planum Polare,2069.0,1.985229990300734e-10,1.2091855395468107e-09,***
L,Planum Temporale,3696.0,0.0016263483094890404,0.0027939829932247615,**
L,Postcentral Gyrus,4515.0,0.12487872451042553,0.15494212115182426,
L,Postcentral Gyrus Medial Segment,1486.0,5.770246575503817e-14,4.832581506984447e-13,***
L,Posterior Cingulate Gyrus,3149.0,2.328647807928874e-05,6.615863272569828e-05,***
L,Posterior Insula,2944.0,3.562103166668791e-06,1.3258939564822722e-05,***
L,Posterior Orbital Gyrus,4892.0,0.4292365198056258,0.4357401034390444,
L,Precentral Gyrus,4760.0,0.29324125824888336,0.31185975083611406,
L,Precentral Gyrus Medial Segment,3100.0,1.5080300504564594e-05,4.592636971844672e-05,***
L,Precuneus,3709.0,0.001775149630302752,0.00297337563075711,**
L,Putamen,3151.0,2.3698614707712814e-05,6.615863272569828e-05,***
L,Subcallosal Area,4879.0,0.4144098078516,0.42716087886241844,
L,Superior Frontal Gyrus,4286.0,0.04696570355551314,0.061700041925870204,
L,Superior Frontal Gyrus Medial Segment,3958.0,0.00843832196259749,0.012849262988500722,*
L,Superior Occipital Gyrus,4738.0,0.2737528902400087,0.3056907274346764,
L,Superior Parietal Lobule,4236.0,0.03704222748459482,0.05064957635648679,
L,Superior Temporal Gyrus,3381.0,0.0001613738733265228,0.0003861446254598939,***
L,Supplementary Motor Cortex,3020.0,7.2772300946893e-06,2.3217829349723003e-05,***
L,Supramarginal Gyrus,3720.0,0.0019107263341541537,0.0031224064484958124,**
L,Temporal Pole,4747.0,0.28161570924213664,0.30931561506923205,
L,Thalamus Proper,2471.0,2.5617656589946044e-08,1.32029460886645e-07,***
L,Transverse Temporal Gyrus,4707.0,0.24782513897860825,0.28142854765367376,
L,Triangular Part of the Inferior Frontal Gyrus,4705.0,0.2462134829194207,0.28142854765367376,
L,Ventral DC,4126.0,0.02131182929694067,0.02974776172697969,*
